"phase","parPri","parPub","trial","rat","phaseNum","nRating","stim","nRat","rat0comp","spq","excInh","ctrlType"
"ph1",5881945,"x0n7gcw3",1,24,1,"ph1_1","E",1,24,79,"Inh","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",2,-36,1,"ph1_1","I",1,36,79,"Exc","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",3,-36,1,"ph1_2","E",2,-36,79,"Inh","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",4,36,1,"ph1_2","I",2,-36,79,"Exc","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",5,-36,1,"ph1_4","I",4,36,79,"Exc","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",6,28,1,"ph1_4","E",4,28,79,"Inh","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",7,48,1,"ph1_8","E",8,48,79,"Inh","pre. (E & I)"
"ph1",5881945,"x0n7gcw3",8,-56,1,"ph1_8","I",8,56,79,"Exc","pre. (E & I)"
"ph1",5881966,"1uaysyii",1,-82,1,"ph1_1","E",1,-82,88,"Inh","pre. (E & I)"
"ph1",5881966,"1uaysyii",2,36,1,"ph1_1","I",1,-36,88,"Exc","pre. (E & I)"
"ph1",5881966,"1uaysyii",3,70,1,"ph1_2","E",2,70,88,"Inh","pre. (E & I)"
"ph1",5881966,"1uaysyii",4,-64,1,"ph1_2","I",2,64,88,"Exc","pre. (E & I)"
"ph1",5881966,"1uaysyii",5,82,1,"ph1_4","E",4,82,88,"Inh","pre. (E & I)"
"ph1",5881966,"1uaysyii",6,-78,1,"ph1_4","I",4,78,88,"Exc","pre. (E & I)"
"ph1",5881966,"1uaysyii",7,-54,1,"ph1_8","I",8,54,88,"Exc","pre. (E & I)"
"ph1",5881966,"1uaysyii",8,58,1,"ph1_8","E",8,58,88,"Inh","pre. (E & I)"
"ph1",5881990,"v9iq45jc",1,100,1,"ph1_1","I",1,-100,32,"Exc","pre. (E & I)"
"ph1",5881990,"v9iq45jc",2,-100,1,"ph1_1","E",1,-100,32,"Inh","pre. (E & I)"
"ph1",5881990,"v9iq45jc",3,98,1,"ph1_2","E",2,98,32,"Inh","pre. (E & I)"
"ph1",5881990,"v9iq45jc",4,100,1,"ph1_2","I",2,-100,32,"Exc","pre. (E & I)"
"ph1",5881990,"v9iq45jc",5,-98,1,"ph1_4","I",4,98,32,"Exc","pre. (E & I)"
"ph1",5881990,"v9iq45jc",6,100,1,"ph1_4","E",4,100,32,"Inh","pre. (E & I)"
"ph1",5881990,"v9iq45jc",7,100,1,"ph1_8","I",8,-100,32,"Exc","pre. (E & I)"
"ph1",5881990,"v9iq45jc",8,100,1,"ph1_8","E",8,100,32,"Inh","pre. (E & I)"
"ph1",5882415,"cv8cxqf0",1,-52,1,"ph1_1","E",1,-52,54,"Inh","pre. (E & I)"
"ph1",5882415,"cv8cxqf0",2,36,1,"ph1_1","I",1,-36,54,"Exc","pre. (E & I)"
"ph1",5882415,"cv8cxqf0",3,-30,1,"ph1_2","I",2,30,54,"Exc","pre. (E & I)"
"ph1",5882415,"cv8cxqf0",4,-48,1,"ph1_2","E",2,-48,54,"Inh","pre. (E & I)"
